"wy","site","ts.fdd","ts.tdd","ts.mean","ts.obs","ta.fdd","ta.tdd","ta.mean","ta.obs","nf","ta.tdd1","ts.tdd1","t5","max","mean","med"
2019,"LDF2",-702.99375,440.577099451966,-0.788037989633734,32,-4657.625,681.656427304964,-14.1493543512279,84,0.150933952389898,925.647727272727,582.708901515152,470,480,297.976525821596,320
2019,"MDF1",-1328.74583333333,430.940381205674,-2.45974096473331,0,-4837.17708333333,661.224053030303,-14.8610428124663,84,0.274694477882891,890.679583333333,364.765,470,480,297.976525821596,320
2019,"MDF2",-1567.8,473.199069148936,-2.99890665986593,0,-4906.81041666667,686.320238095238,-15.0195380020336,84,0.319515095727919,1052.97232843137,418.104828431373,470,480,297.976525821596,320
2020,"DAVY",-1490.2625,286.158333333333,-3.28990209471767,0,NA,NA,NA,NA,NA,667.649780701754,202.17773245614,589,630,373.654377880184,371
2020,"HDF1",0,0,NA,366,NA,NA,NA,NA,NA,659.00119047619,44.072619047619,589,630,373.654377880184,371
2020,"LBR",-805.552083333333,207.045833333333,-1.63526297814208,0,NA,NA,NA,NA,NA,669.939393939394,179.528170289855,589,630,373.654377880184,371
2020,"LDF2",-441.310416666667,715.83125,0.750056921675774,0,NA,NA,NA,NA,NA,681.656427304964,440.577099451966,589,630,373.654377880184,371
2020,"MDF1",-1061.26041666667,489.8,-1.56136725865209,0,NA,NA,NA,NA,NA,661.224053030303,430.940381205674,589,630,373.654377880184,371
2020,"MDF2",-1365.71666666667,474.95,-2.43378870673953,0,NA,NA,NA,NA,NA,686.320238095238,473.199069148936,589,630,373.654377880184,371
2021,"DAVY",-1724.29583333333,165.481492753623,-4.93295677398642,19,-4732.94458333333,1064.07491666667,-11.6842983014862,21,0.364317773634049,NA,286.158333333333,460,480,287.060465116279,330
2021,"HDF1",0,0,NA,335,NA,NA,NA,NA,NA,NA,0,460,480,287.060465116279,330
2021,"LBR",-980.414583333333,99.8019776322968,-2.78674875221847,19,-4453.40208333333,1068.12451923077,-10.7811387391801,21,0.22014957665792,NA,207.045833333333,460,480,287.060465116279,330
2021,"LDF2",-670.954166666667,413.768912529551,-0.81387738650986,19,-4316.75916666667,1084.23703703704,-10.2946564637886,21,0.155430067039104,NA,715.83125,460,480,287.060465116279,330
2021,"MDF1",-1226.96875,284.996409574468,-2.9809251279289,19,-4498.82291666667,1053.08720238095,-10.9736806187443,21,0.272731061597131,NA,489.8,460,480,287.060465116279,330
2021,"MDF2",-1468.67916666667,278.304357610475,-3.76700888941833,19,-4553.62458333333,1100.65304487179,-10.996724644782,21,0.322529699097761,NA,474.95,460,480,287.060465116279,330
